Cantones/Partidos,SANJOSE,ESCAZU,DESAMPARADOS,PURISCAL,TARRAZU,ASERRI,MORA,GOICOECHEA,SANTA ANA,ALAJUELITA,VAZQUEZ DE CORONADO,ACOSTA,TIBAS,MORAVIA,MONTES DE OCA,TURRUBARES,DOTA,CURRIDABAT,PEREZ ZELEDON,LEON CORTES CASTRO,ALAJUELA,SAN RAMON,GRECIA,SAN MATEO,ATENAS,NARANJO,PALMARES,POAS,OROTINA,SAN CARLOS,ZARCERO,VALVERDE VEGA,UPALA,LOS CHILES,GUATUSO,CARTAGO,PARAISO,LA UNION,JIMENEZ,TURRIALBA,ALVARADO,OREAMUNO,EL GUARCO,CENTRAL,BARVA,SANTO DOMINGO,SANTA BARBARA,SAN RAFAEL,SAN ISIDRO,BELEN,FLORES,SAN PABLO,SARAPIQUI,LIBERIA,NICOYA,SANTA CRUZ,BAGACES,CARRILLO,CAÑAS,ABANGARES,TILARAN,NANDAYURE,LA CRUZ,HOJANCHA,PUNTARENAS,ESPARZA,BUENOS AIRES,MONTES DE ORO,OSA,QUEPOS,GOLFITO,COTO BRUS,PARRITA,CORREDORES,GARABITO,CENTRAL,POCOCI,SIQUIRRES,TALAMANCA,MATINA,GUACIMO
ACCESIBILIDAD SIN EXCLUSION,415.0,94.0,397.0,54.0,31.0,107.0,38.0,167.0,42.0,145.0,124.0,34.0,94.0,79.0,53.0,7.0,17.0,100.0,320.0,20.0,450.0,139.0,125.0,8.0,46.0,52.0,45.0,61.0,19.0,281.0,12.0,30.0,70.0,26.0,17.0,270.0,212.0,192.0,37.0,127.0,33.0,100.0,90.0,175.0,37.0,57.0,50.0,67.0,26.0,28.0,20.0,31.0,89.0,163.0,58.0,105.0,24.0,54.0,33.0,27.0,25.0,21.0,11.0,7.0,157.0,29.0,59.0,19.0,44.0,56.0,80.0,106.0,19.0,70.0,16.0,225.0,423.0,141.0,30.0,56.0,114.0
ACCION CIUDADANA,34650.0,7246.0,24445.0,4651.0,2293.0,6424.0,3686.0,15556.0,5701.0,5813.0,10608.0,2934.0,9852.0,9120.0,10987.0,378.0,1243.0,9016.0,11554.0,1479.0,29960.0,14033.0,9328.0,470.0,4028.0,5525.0,5862.0,3596.0,1319.0,11928.0,1618.0,1877.0,1646.0,791.0,404.0,24665.0,8478.0,11902.0,2042.0,10185.0,1938.0,7171.0,6147.0,20130.0,7331.0,6906.0,4739.0,7442.0,3393.0,3841.0,3389.0,4689.0,2589.0,4384.0,3347.0,3319.0,1401.0,1571.0,1557.0,1156.0,1936.0,898.0,713.0,807.0,6519.0,2140.0,1530.0,1211.0,1011.0,1166.0,1590.0,2060.0,572.0,1716.0,814.0,3277.0,7438.0,2030.0,872.0,731.0,1702.0
ALIANZA DEMOCRATA CRISTIANA,575.0,60.0,388.0,43.0,34.0,84.0,43.0,270.0,60.0,132.0,181.0,33.0,172.0,119.0,102.0,2.0,8.0,128.0,209.0,16.0,420.0,131.0,141.0,4.0,46.0,72.0,39.0,49.0,19.0,246.0,20.0,30.0,51.0,24.0,21.0,3295.0,421.0,397.0,128.0,461.0,76.0,602.0,540.0,220.0,69.0,82.0,50.0,69.0,34.0,23.0,23.0,38.0,74.0,74.0,83.0,64.0,17.0,50.0,28.0,65.0,21.0,18.0,14.0,4.0,107.0,39.0,61.0,17.0,68.0,39.0,75.0,82.0,14.0,95.0,10.0,274.0,317.0,102.0,70.0,76.0,164.0
DE LOS TRABAJADORES,303.0,69.0,219.0,25.0,11.0,59.0,14.0,113.0,65.0,89.0,80.0,15.0,68.0,53.0,70.0,7.0,10.0,62.0,153.0,12.0,259.0,107.0,85.0,5.0,26.0,50.0,57.0,25.0,15.0,105.0,21.0,25.0,45.0,54.0,9.0,174.0,69.0,83.0,19.0,71.0,19.0,52.0,40.0,130.0,42.0,35.0,27.0,46.0,27.0,14.0,18.0,24.0,38.0,51.0,41.0,54.0,17.0,25.0,17.0,12.0,11.0,9.0,13.0,5.0,92.0,19.0,36.0,9.0,22.0,17.0,32.0,38.0,16.0,32.0,11.0,97.0,200.0,57.0,26.0,35.0,38.0
FRENTE AMPLIO,1258.0,227.0,816.0,109.0,96.0,201.0,91.0,516.0,100.0,217.0,306.0,82.0,272.0,280.0,362.0,6.0,41.0,294.0,562.0,51.0,783.0,440.0,341.0,19.0,95.0,103.0,171.0,85.0,41.0,719.0,39.0,77.0,127.0,103.0,35.0,575.0,268.0,378.0,94.0,337.0,25.0,285.0,135.0,566.0,269.0,167.0,123.0,220.0,87.0,120.0,83.0,115.0,146.0,178.0,248.0,143.0,83.0,66.0,75.0,51.0,30.0,39.0,20.0,9.0,369.0,105.0,194.0,38.0,133.0,47.0,118.0,96.0,32.0,175.0,40.0,266.0,381.0,274.0,268.0,94.0,151.0
INTEGRACION NACIONAL,15499.0,2674.0,10014.0,1945.0,494.0,2700.0,1324.0,5432.0,2043.0,3543.0,3209.0,1207.0,3556.0,2708.0,2249.0,207.0,299.0,2598.0,5914.0,429.0,11787.0,4534.0,3325.0,255.0,1196.0,1831.0,1958.0,1174.0,799.0,7029.0,390.0,915.0,1052.0,824.0,392.0,9491.0,6342.0,4145.0,776.0,3022.0,735.0,2779.0,2549.0,5073.0,1925.0,2051.0,1702.0,2064.0,1031.0,999.0,1094.0,1075.0,2061.0,2635.0,2617.0,3722.0,785.0,1365.0,1170.0,985.0,661.0,579.0,638.0,496.0,6470.0,1409.0,2060.0,558.0,1396.0,1287.0,1601.0,1433.0,625.0,1728.0,895.0,4336.0,6829.0,1737.0,724.0,771.0,1413.0
LIBERACION NACIONAL,27649.0,7261.0,19343.0,4982.0,1498.0,6024.0,2584.0,9590.0,5528.0,4020.0,6063.0,2478.0,6862.0,5379.0,5323.0,1148.0,764.0,6728.0,11294.0,1344.0,23677.0,6922.0,7314.0,860.0,2466.0,3913.0,4264.0,3272.0,2316.0,12430.0,1919.0,1594.0,3307.0,1049.0,1544.0,19042.0,5418.0,8441.0,2105.0,7631.0,1562.0,5452.0,5693.0,12235.0,4065.0,4732.0,3193.0,4039.0,2268.0,2965.0,2532.0,2676.0,3075.0,5346.0,6603.0,5625.0,1467.0,3327.0,2331.0,1934.0,2207.0,1330.0,1617.0,1150.0,8041.0,2985.0,3110.0,1054.0,1973.0,1739.0,2578.0,3524.0,1453.0,3360.0,1463.0,5553.0,9586.0,4460.0,1614.0,2246.0,3225.0
MOVIMIENTO LIBERTARIO,1604.0,407.0,1182.0,147.0,65.0,296.0,139.0,650.0,269.0,433.0,417.0,68.0,393.0,299.0,265.0,22.0,18.0,351.0,583.0,62.0,1338.0,445.0,255.0,39.0,117.0,139.0,139.0,114.0,62.0,695.0,46.0,126.0,192.0,63.0,77.0,951.0,316.0,599.0,72.0,292.0,59.0,259.0,266.0,701.0,256.0,223.0,187.0,224.0,119.0,149.0,94.0,124.0,333.0,216.0,232.0,211.0,59.0,149.0,80.0,127.0,63.0,106.0,44.0,59.0,399.0,114.0,236.0,54.0,122.0,110.0,160.0,236.0,103.0,178.0,93.0,357.0,884.0,302.0,78.0,122.0,220.0
NUEVA GENERACION,1314.0,262.0,887.0,129.0,60.0,204.0,135.0,576.0,213.0,517.0,317.0,54.0,343.0,311.0,288.0,5.0,31.0,277.0,431.0,39.0,1070.0,464.0,283.0,10.0,87.0,162.0,158.0,89.0,52.0,440.0,45.0,61.0,63.0,23.0,32.0,856.0,269.0,468.0,81.0,186.0,96.0,189.0,216.0,693.0,274.0,239.0,173.0,243.0,103.0,107.0,112.0,132.0,131.0,159.0,116.0,87.0,47.0,77.0,47.0,26.0,51.0,48.0,22.0,11.0,312.0,84.0,144.0,43.0,61.0,78.0,54.0,71.0,16.0,62.0,22.0,162.0,267.0,95.0,38.0,28.0,67.0
RENOVACION COSTARRICENSE,769.0,156.0,593.0,98.0,66.0,167.0,74.0,387.0,98.0,239.0,218.0,72.0,163.0,154.0,133.0,8.0,24.0,122.0,448.0,59.0,641.0,228.0,202.0,9.0,66.0,118.0,94.0,72.0,30.0,362.0,29.0,38.0,95.0,51.0,23.0,613.0,282.0,300.0,46.0,267.0,57.0,220.0,170.0,360.0,111.0,201.0,87.0,129.0,65.0,49.0,52.0,66.0,116.0,185.0,126.0,120.0,47.0,69.0,69.0,50.0,49.0,47.0,38.0,22.0,250.0,47.0,169.0,36.0,48.0,58.0,100.0,83.0,25.0,101.0,37.0,335.0,382.0,202.0,92.0,67.0,137.0
